,Ticker,Last Price,Change,Volume,Signal,Link
0,JWN,26.36,34.93%,31098841,Top Gainers,https://finviz.com/quote.ashx?t=JWN
1,IMPP,1.93,30.41%,44566689,Top Gainers,https://finviz.com/quote.ashx?t=IMPP
2,ARLO,11.14,28.34%,3085541,Top Gainers,https://finviz.com/quote.ashx?t=ARLO
3,RCKY,46.74,24.64%,50117,Top Gainers,https://finviz.com/quote.ashx?t=RCKY
4,ORGO,8.78,21.27%,1488760,Top Gainers,https://finviz.com/quote.ashx?t=ORGO
5,CTMX,4.26,20.20%,337898,Top Gainers,https://finviz.com/quote.ashx?t=CTMX
6,ARCH,134.57,8.81%,431885,New High,https://finviz.com/quote.ashx?t=ARCH
7,PBIP,17.15,18.60%,407945,New High,https://finviz.com/quote.ashx?t=PBIP
8,BTU,20.92,11.51%,9342564,New High,https://finviz.com/quote.ashx?t=BTU
9,SSL,25.12,7.83%,427121,New High,https://finviz.com/quote.ashx?t=SSL
10,LNTH,48.56,-1.20%,288007,Overbought,https://finviz.com/quote.ashx?t=LNTH
11,RESN,4.39,-0.23%,881971,Overbought,https://finviz.com/quote.ashx?t=RESN
12,ENTR,11.91,-0.88%,857814,Unusual Volume,https://finviz.com/quote.ashx?t=ENTR
13,MOHO,0.42,79.14%,72392387,Unusual Volume,https://finviz.com/quote.ashx?t=MOHO
14,FVAM,9.81,0.00%,500002,Unusual Volume,https://finviz.com/quote.ashx?t=FVAM
15,PBIP,17.15,18.60%,407945,Unusual Volume,https://finviz.com/quote.ashx?t=PBIP
16,ACVA,14.08,4.14%,537095,Upgrades,https://finviz.com/quote.ashx?t=ACVA
17,AMRX,4.24,-4.83%,488182,Earnings Before,https://finviz.com/quote.ashx?t=AMRX
18,CWBC,13.57,0.82%,741,Insider Buying,https://finviz.com/quote.ashx?t=CWBC
19,SABS,2.30,-50.00%,175688,Top Losers,https://finviz.com/quote.ashx?t=SABS
20,GOCO,1.35,-32.16%,7654240,Top Losers,https://finviz.com/quote.ashx?t=GOCO
21,KPTI,7.22,-30.46%,2868222,Top Losers,https://finviz.com/quote.ashx?t=KPTI
22,AKA,5.15,-26.22%,526304,Top Losers,https://finviz.com/quote.ashx?t=AKA
23,CCXI,22.41,-23.92%,2423282,Top Losers,https://finviz.com/quote.ashx?t=CCXI
24,HOOK,2.02,-20.04%,4353826,Top Losers,https://finviz.com/quote.ashx?t=HOOK
25,SABS,2.30,-50.00%,175688,New Low,https://finviz.com/quote.ashx?t=SABS
26,GOCO,1.35,-32.16%,7654240,New Low,https://finviz.com/quote.ashx?t=GOCO
27,AKA,5.15,-26.22%,526304,New Low,https://finviz.com/quote.ashx?t=AKA
28,ERIC,7.83,-11.62%,16342981,New Low,https://finviz.com/quote.ashx?t=ERIC
29,TKLF,2.13,-5.33%,182574,Oversold,https://finviz.com/quote.ashx?t=TKLF
30,KOD,8.55,-3.28%,930132,Oversold,https://finviz.com/quote.ashx?t=KOD
31,SABS,2.30,-50.00%,175688,Most Volatile,https://finviz.com/quote.ashx?t=SABS
32,DIBS,8.32,-19.45%,1030603,Most Volatile,https://finviz.com/quote.ashx?t=DIBS
33,MULN,1.04,0.97%,94855390,Most Active,https://finviz.com/quote.ashx?t=MULN
34,SOFI,11.85,5.77%,76201664,Most Active,https://finviz.com/quote.ashx?t=SOFI
35,DIBS,8.32,-19.45%,1030603,Downgrades,https://finviz.com/quote.ashx?t=DIBS
36,AAIC,3.24,1.25%,22025,Earnings After,https://finviz.com/quote.ashx?t=AAIC
37,CME,237.79,1.86%,304030,Insider Selling,https://finviz.com/quote.ashx?t=CME
